"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average Price","1997M01","Round steak per kg.","IEP","6.119"
"National Average Price","1997M01","Sirloin steak per kg.","IEP","8.053"
"National Average Price","1997M01","Rib steak per kg.","IEP","4.023"
"National Average Price","1997M01","Leg beef (boneless) per kg.","IEP","4.269"
"National Average Price","1997M01","Brisket pot roast per kg.","IEP","4.097"
"National Average Price","1997M01","Lamb whole leg per kg.","IEP","5.724"
"National Average Price","1997M01","Lamb loin chops per kg.","IEP","8.776"
"National Average Price","1997M01","Lamb gigot chops per kg.","IEP","6.148"
"National Average Price","1997M01","Lamb - neck per kg.","IEP","2.48"
"National Average Price","1997M01","Lambs liver per kg.","IEP","3.339"
"National Average Price","1997M01","Whole leg of pork per kg.","IEP","3.879"
"National Average Price","1997M01","Pork loin chops per kg.","IEP","5.694"
"National Average Price","1997M01","Shoulder roast of pork per kg.","IEP","3.192"
"National Average Price","1997M01","Pork steak per kg.","IEP","8.476"
"National Average Price","1997M01","Best back rashers per kg.","IEP","6.414"
"National Average Price","1997M01","Streaky rashers per kg.","IEP","3.936"
"National Average Price","1997M01","Ham fillet per kg.","IEP","5.731"
"National Average Price","1997M01","Cooked ham per kg.","IEP","8.232"
"National Average Price","1997M01","Pork sausages per kg.","IEP","2.922"
"National Average Price","1997M01","Black pudding per kg.","IEP","2.847"
"National Average Price","1997M01","Fillet of whiting per kg.","IEP","4.27"
"National Average Price","1997M01","Cod cutlets per kg.","IEP","6.635"
"National Average Price","1997M01","Fillet of plaice per kg.","IEP","8.012"
"National Average Price","1997M01","Smoked kippers per kg.","IEP","3.415"
"National Average Price","1997M01","Potatoes per 5lbs","IEP","0.935"
"National Average Price","1997M01","Potatoes 10 kg.","IEP","2.559"
"National Average Price","1997M01","Tomatoes per kg.","IEP","1.47"
"National Average Price","1997M01","Onions per kg.","IEP","0.544"
"National Average Price","1997M01","Broccoli per kg.","IEP","1.857"
"National Average Price","1997M01","Carrots per kg.","IEP","0.547"
"National Average Price","1997M01","Mushrooms per kg.","IEP","2.697"
"National Average Price","1997M01","Fresh pasteurised milk per litre","IEP","0.63"
"National Average Price","1997M01","Irish cheddar per kg.","IEP","5.758"
