Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Paraparaumu Aero,3145,E04991,-40.907,174.984,5,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Paraparaumu Aero,Jan-1995,00,64.9,-,
Paraparaumu Aero,Jan-1995,02,16.9,-,
Paraparaumu Aero,Jan-1995,09,259.0,-,
Paraparaumu Aero,Feb-1995,00,94.5,-,
Paraparaumu Aero,Feb-1995,02,18.0,-,
Paraparaumu Aero,Feb-1995,09,211.1,-,
Paraparaumu Aero,Mar-1995,00,94.7,-,
Paraparaumu Aero,Mar-1995,02,16.4,-,
Paraparaumu Aero,Mar-1995,09,187.4,-,
Paraparaumu Aero,Apr-1995,00,104.0,-,
Paraparaumu Aero,Apr-1995,02,14.9,-,
Paraparaumu Aero,Apr-1995,09,140.3,-,
Paraparaumu Aero,May-1995,00,88.5,-,
Paraparaumu Aero,May-1995,02,11.6,-,
Paraparaumu Aero,May-1995,09,138.7,-,
Paraparaumu Aero,Jun-1995,00,152.2,-,
Paraparaumu Aero,Jun-1995,02,9.2,-,
Paraparaumu Aero,Jun-1995,09,122.1,-,
Paraparaumu Aero,Jul-1995,00,117.0,-,
Paraparaumu Aero,Jul-1995,02,8.2,-,
Paraparaumu Aero,Jul-1995,09,136.5,-,
Paraparaumu Aero,Aug-1995,00,64.7,-,
Paraparaumu Aero,Aug-1995,02,9.0,-,
Paraparaumu Aero,Aug-1995,09,153.1,-,
Paraparaumu Aero,Sep-1995,00,85.0,-,
Paraparaumu Aero,Sep-1995,02,10.9,-,
Paraparaumu Aero,Sep-1995,09,122.9,-,
Paraparaumu Aero,Oct-1995,00,118.9,-,
Paraparaumu Aero,Oct-1995,02,12.2,-,
Paraparaumu Aero,Oct-1995,09,176.8,-,
Paraparaumu Aero,Nov-1995,00,100.2,-,
Paraparaumu Aero,Nov-1995,02,13.2,-,
Paraparaumu Aero,Nov-1995,09,209.0,-,
Paraparaumu Aero,Dec-1995,00,94.8,-,
Paraparaumu Aero,Dec-1995,02,17.4,-,
Paraparaumu Aero,Dec-1995,09,227.9,-,
Paraparaumu Aero,Jan-1996,00,18.1,-,
Paraparaumu Aero,Jan-1996,02,17.9,-,
Paraparaumu Aero,Jan-1996,09,215.2,-,
Paraparaumu Aero,Feb-1996,00,126.2,-,
Paraparaumu Aero,Feb-1996,02,17.3,-,
Paraparaumu Aero,Feb-1996,09,216.2,-,
Paraparaumu Aero,Mar-1996,00,67.8,-,
Paraparaumu Aero,Mar-1996,02,15.3,-,
Paraparaumu Aero,Mar-1996,09,171.9,-,
Paraparaumu Aero,Apr-1996,00,108.2,-,
Paraparaumu Aero,Apr-1996,02,15.0,-,
Paraparaumu Aero,Apr-1996,09,116.0,-,
Paraparaumu Aero,May-1996,00,126.1,-,
Paraparaumu Aero,May-1996,02,11.5,-,
Paraparaumu Aero,May-1996,09,166.4,-,
Paraparaumu Aero,Jun-1996,00,115.2,-,
Paraparaumu Aero,Jun-1996,02,8.7,-,
Paraparaumu Aero,Jun-1996,09,93.7,-,
Paraparaumu Aero,Jul-1996,00,82.1,-,
Paraparaumu Aero,Jul-1996,02,8.9,-,
Paraparaumu Aero,Jul-1996,09,102.5,-,
Paraparaumu Aero,Aug-1996,00,88.4,-,
Paraparaumu Aero,Aug-1996,02,8.7,-,
Paraparaumu Aero,Aug-1996,09,154.1,-,
Paraparaumu Aero,Sep-1996,00,122.9,-,
Paraparaumu Aero,Sep-1996,02,12.2,-,
Paraparaumu Aero,Sep-1996,09,132.5,-,
Paraparaumu Aero,Oct-1996,00,138.8,-,
Paraparaumu Aero,Oct-1996,02,13.1,-,
Paraparaumu Aero,Oct-1996,09,184.6,-,
Paraparaumu Aero,Nov-1996,00,112.8,-,
Paraparaumu Aero,Nov-1996,02,13.0,-,
Paraparaumu Aero,Nov-1996,09,186.7,-,
Paraparaumu Aero,Dec-1996,00,117.2,-,
Paraparaumu Aero,Dec-1996,02,14.8,-,
Paraparaumu Aero,Dec-1996,09,214.5,-,
Paraparaumu Aero,Jan-1997,00,31.6,-,
Paraparaumu Aero,Jan-1997,02,15.4,-,
Paraparaumu Aero,Jan-1997,09,281.3,-,
Paraparaumu Aero,Feb-1997,00,43.3,-,
Paraparaumu Aero,Feb-1997,02,17.3,-,
Paraparaumu Aero,Feb-1997,09,182.7,-,
Paraparaumu Aero,Mar-1997,00,92.8,-,
Paraparaumu Aero,Mar-1997,02,15.4,-,
Paraparaumu Aero,Mar-1997,09,182.6,-,
Paraparaumu Aero,Apr-1997,00,78.1,-,
Paraparaumu Aero,Apr-1997,02,12.9,-,
Paraparaumu Aero,Apr-1997,09,170.5,-,
Paraparaumu Aero,May-1997,00,43.2,-,
Paraparaumu Aero,May-1997,02,12.7,-,
Paraparaumu Aero,May-1997,09,118.8,-,
Paraparaumu Aero,Jun-1997,00,61.0,-,
Paraparaumu Aero,Jun-1997,02,8.6,-,
Paraparaumu Aero,Jun-1997,09,119.2,-,
Paraparaumu Aero,Jul-1997,00,32.9,-,
Paraparaumu Aero,Jul-1997,02,7.8,-,
Paraparaumu Aero,Jul-1997,09,151.7,-,
Paraparaumu Aero,Aug-1997,00,102.8,-,
Paraparaumu Aero,Aug-1997,02,9.4,-,
Paraparaumu Aero,Aug-1997,09,148.1,-,
Paraparaumu Aero,Sep-1997,00,99.6,-,
Paraparaumu Aero,Sep-1997,02,9.6,-,
Paraparaumu Aero,Sep-1997,09,142.4,-,
Paraparaumu Aero,Oct-1997,00,124.0,-,
Paraparaumu Aero,Oct-1997,02,12.2,-,
Paraparaumu Aero,Oct-1997,09,160.8,-,
Paraparaumu Aero,Nov-1997,00,52.7,-,
Paraparaumu Aero,Nov-1997,02,13.8,-,
Paraparaumu Aero,Nov-1997,09,199.8,-,
Paraparaumu Aero,Dec-1997,00,93.9,-,
Paraparaumu Aero,Dec-1997,02,15.5,-,
Paraparaumu Aero,Dec-1997,09,210.3,-,
Paraparaumu Aero,Jan-1998,00,37.7,-,
Paraparaumu Aero,Jan-1998,02,17.0,-,
Paraparaumu Aero,Jan-1998,09,165.1,-,
